"OBJECTID","LME_NUMBER","LME_NAME","Shape_Leng","Shape_Area","Nospecies","CR","EN","VU","rest"
1,23,"Baltic Sea",219.326402059,61.9500208262,30,1,1,8,20
2,52,"Sea of Okhotsk",145.932989028,213.796584333,46,0,0,8,38
3,22,"North Sea",209.486402669,103.9652466,55,1,2,12,40
4,2,"Gulf of Alaska",468.695688344,203.793867511,33,0,0,6,27
5,9,"Labrador - Newfoundland",270.847478624,114.597691045,51,0,4,12,35
6,24,"Celtic-Biscay Shelf",214.311375288,98.7623489389,89,1,4,18,66
7,50,"Sea of Japan",89.0782788957,106.472323797,168,0,4,27,137
8,51,"Oyashio Current",55.9878855219,61.2565278967,47,0,0,6,41
9,8,"Scotian Shelf",87.605889957,32.8289784535,33,0,4,10,19
10,3,"California Current",110.244423248,215.804744389,107,0,2,17,88
11,62,"Black Sea",84.745092942,51.5342804486,5,0,0,2,3
12,7,"Northeast U.S. Continental Shelf",131.06076327,34.4699302913,83,1,5,19,58
13,26,"Mediterranean Sea",350.629348915,256.745168483,97,4,9,22,62
14,25,"Iberian Coastal",57.193046581,32.6491639373,95,3,9,22,61
15,49,"Kuroshio Current",123.339378667,125.306929211,235,1,7,41,186
16,48,"Yellow Sea",78.7923842408,44.3132494265,81,0,3,22,56
17,27,"Canary Current",96.4037842891,100.884476333,148,6,10,28,104
18,47,"East China Sea",105.073242794,72.6529205175,196,1,7,40,148
19,6,"Southeast U.S. Continental Shelf",60.4763047857,28.3566504978,115,3,3,19,90
20,4,"Gulf of California",50.5032369568,20.0876799753,97,1,2,17,77
21,5,"Gulf of Mexico",116.221437916,137.234831192,137,3,2,17,115
22,32,"Arabian Sea",200.00884632,333.7834462,141,5,7,36,93
23,33,"Red Sea",69.405100556,40.0309910175,59,2,4,22,31
24,10,"Insular Pacific-Hawaiian",72.9214424204,87.0088696678,48,0,1,15,32
25,12,"Caribbean Sea",269.198583695,276.603751656,205,4,2,25,174
26,36,"South China Sea",205.956314988,264.397357309,228,3,13,54,158
27,34,"Bay of Bengal",219.637122077,304.148625172,139,5,10,43,81
28,11,"Pacific Central-American Coastal",153.151882822,165.397392268,202,3,3,23,173
29,37,"Sulu-Celebes Sea",156.109845944,82.9719894869,137,3,9,37,88
30,35,"Gulf of Thailand",46.0178699013,31.8646652723,113,3,9,40,61
31,17,"North Brazil Shelf",149.532880708,86.1054665318,102,4,2,15,81
32,28,"Guinea Current",156.97120198,156.534240177,112,4,8,24,76
33,31,"Somali Coastal Current",70.2530544347,68.5710741963,89,2,3,24,60
34,38,"Indonesian Sea",284.654572553,184.897965208,164,5,11,45,103
35,16,"East Brazil Shelf",76.585164469,89.2866091414,75,3,3,15,54
36,13,"Humboldt Current",442.599531459,253.06909724,128,2,5,24,97
37,29,"Benguela Current",81.6751243416,128.348959069,134,4,6,22,102
38,39,"North Australian Shelf",103.681587973,64.9206989499,116,4,7,32,73
39,40,"Northeast Australian Shelf",71.0359948408,109.050873088,155,3,6,34,112
40,30,"Agulhas Current",194.802316146,232.569655933,187,4,6,38,139
41,45,"Northwest Australian Shelf",69.5862295254,77.3480637124,151,4,5,30,112
42,41,"East Central Australian Shelf",52.713869716,60.6370155002,190,1,4,39,146
43,15,"South Brazil Shelf",70.1466398516,51.8759986797,114,4,8,30,72
44,46,"New Zealand Shelf",167.460004981,103.144035896,87,0,1,14,72
45,14,"Patagonian Shelf",143.260741385,137.364853087,114,4,9,26,75
46,42,"Southeast Australian Shelf",106.976592461,127.89582666,128,0,4,19,105
47,61,"Antarctica",1686.15672841,1341.22332028,4,0,0,1,3
48,43,"South West Australian Shelf",86.0917820857,100.611490228,116,2,2,15,97
49,44,"West Central Australian Shelf",46.1564249265,53.2019209662,175,2,3,29,141
50,60,"Faroe Plateau",29.0561994456,17.6144005623,50,1,1,9,39
51,59,"Iceland Shelf and Sea",138.480688598,97.1401215956,40,1,1,7,31
52,19,"Greenland Sea",478.515084359,347.560761191,61,1,1,11,48
53,21,"Norwegian Sea",159.901810149,232.309781036,37,1,1,9,26
54,20,"Barents Sea",792.332999321,678.861124641,24,1,1,8,14
55,58,"Kara Sea",417.116801326,353.201183396,2,0,0,0,2
56,57,"Laptev Sea",370.641941298,303.977692922,0,0,0,0,0
57,56,"East Siberian Sea",89.9686448936,187.920184554,0,0,0,0,0
58,53,"West Bering Sea",92.8922586399,111.532476931,20,0,0,3,17
59,65,"Aleutian Islands",71.345688951,28.6336746047,104,1,4,14,85
60,1,"East Bering Sea",148.283217699,189.729414728,105,1,4,14,86
61,18,"Canadian Eastern Arctic - West Greenland",1025.94764515,331.64437588,15,0,0,3,12
62,63,"Hudson Bay Complex",391.717406389,209.464313318,5,0,0,2,3
63,55,"Beaufort Sea",478.747079769,292.450949135,1,0,0,0,1
64,66,"Canadian High Arctic - North Greenland",1059.50134216,297.732265258,2,0,0,0,2
65,64,"Central Arctic",760.568294359,3181.18885474,6,0,0,2,4
66,54,"Northern Bering - Chukchi Seas",272.470983926,332.631346265,67,1,1,10,55
